date,nifty_gap_pct,banknifty_gap_pct,market_gap_mean,market_gap_median,gap_up_count,gap_down_count,gap_flat_count,gap_breadth_ratio,gap_skew,gap_std,large_gap_up_count,large_gap_down_count,volume_weighted_gap,gap_vs_vix
2020-01-02,,,0.6294071805858384,0.2921583248676973,900,332,258,0.6040268456375839,6.994238403640572,2.34145430688309,389,146,0.789489069729069,
2020-01-03,-0.17179332692840443,-0.3603148208366047,0.5506534288658937,0.06618133686300265,727,474,292,0.4869390488948426,6.504332052128772,2.4502907716239464,342,151,2.355306281554667,-0.014951551516832414
2020-01-06,-0.45842483427593894,-0.4951784029872841,-0.2901738692972683,-0.2597402597402598,385,842,272,0.256837891927952,0.4335209758327067,2.399605562418872,237,423,0.46598490350418875,-0.03609644364377472
2020-01-07,0.7174988847707731,1.1553550820097236,0.9399823801508882,0.731599617306844,1041,275,180,0.695855614973262,0.09929846813576902,2.485959353445782,622,162,1.187017271296149,0.04854525607380061
2020-01-08,-0.9445820317847575,-1.2863303120441816,-0.9085201190970327,-0.9577015163607316,241,1102,154,0.16098864395457582,0.5718310306440605,2.2438881619724236,166,724,-0.9607889372083729,-0.06465311648081845
2020-01-09,1.0627549302099304,1.1939955982169792,1.4044051060700347,1.21018627307935,1210,167,121,0.807743658210948,-0.12029949727002233,2.364321597538899,856,97,1.4013191162148488,0.06795108249424107
2020-01-10,0.4510514984569225,0.384203113509729,0.7000276930698852,0.40740141383711626,963,308,231,0.6411451398135819,1.2991213259634562,2.277694835806462,440,141,0.6146275883030901,0.03221796417549446
2020-01-13,0.32553358135893884,0.12991706493359345,0.6951127225945292,0.4499437570303577,987,271,243,0.6575616255829447,1.4995141485297172,2.1419330974478465,442,160,-0.025633730840368518,0.023120282766970087
2020-01-14,0.02879261611332673,0.058425646372550766,0.46624494880810047,0.27472527472527375,886,345,270,0.5902731512325117,-2.8438304644984957,2.3194160076235035,356,142,0.059313092377745534,0.0020162896437903874
2020-01-15,-0.10434951424896921,-0.2397756273843088,0.22028380206969317,0.02197077886412213,689,502,312,0.458416500332668,-3.4500036310145767,2.5279168358860016,301,206,-0.19828652052473744,-0.007501762347158103
2020-01-16,0.030785932449184372,-0.04509047946734679,0.604356703451,0.4366812227074357,961,293,235,0.6453995970449966,-3.063765954757066,2.0934898165419824,421,117,0.42496062275067126,0.00218030683067878
2020-01-17,-0.21933551859496525,-0.8860767441349449,0.5127420307285262,0.24420024420022113,815,415,255,0.5488215488215489,1.508894589167438,2.4853521230894144,383,163,-4.863269206053831,-0.015467949125173854
2020-01-20,0.6326731350714709,1.05505901271421,0.5826692603816029,0.34841600971756703,886,340,262,0.5954301075268817,-0.1828574458466645,2.2893060737019115,386,160,1.5950579515152292,0.04477516879486702
2020-01-21,-0.2392726112617649,-0.3275349775503478,-0.12294032853738172,-0.13276301837668036,438,766,286,0.29395973154362415,1.7606125500832168,1.9265202793920762,227,286,2.9275686369690685,-0.015527100016986692
2020-01-22,0.3985258651503454,0.36852674929033213,0.5265715303288018,0.45825466236799617,976,289,225,0.6550335570469799,-1.3911086264685741,1.8850471731489293,390,151,0.2615306105566797,0.025127734246553936
2020-01-23,0.1391768330456289,0.1327298873506022,0.340400743504599,0.15847860538826808,796,409,282,0.535305985205111,3.676668051161066,2.1136285132802186,300,164,-0.01597327142552871,0.008507141384207145
2020-01-24,-0.04761767929494232,0.11627513179730542,0.30929879027448604,0.12749911541731773,760,421,305,0.5114401076716016,-0.3650605282511381,2.073704590907745,305,175,0.34865081504388024,-0.0030023757436911927
2020-01-27,-0.41761067907659655,-0.4199508670288954,-0.025869426741143557,-0.07099388160905495,479,732,279,0.3214765100671141,1.0791861640703968,2.1775263436695664,246,277,-0.8178046674485641,-0.026838732588470214
2020-01-28,0.2401188216849537,0.27434219486726086,0.4401102999834332,0.2521555230193595,839,357,291,0.5642232683254875,1.9336641422113114,2.072611471907801,353,148,0.2848243291188214,0.013976648526481589
2020-01-29,0.4902204747922134,0.49965216147509484,0.5950091857230349,0.5583166712967547,1018,299,173,0.6832214765100671,1.4044576325236393,1.9425426266296242,439,161,0.6513259575241827,0.028336443629607713
2020-01-30,0.15045962323261275,0.03967354341418705,0.19669925712781602,0.09480170643072494,736,469,270,0.49898305084745764,0.3773993990997474,1.8802525371671448,282,210,0.036664495338093406,0.009118765044400772
2020-01-31,0.5367320826201949,0.9889909095061933,0.4897728621371807,0.42796005706133844,898,355,222,0.6088135593220338,1.8947864027696582,2.1893502577486528,395,192,0.5129175075330398,0.03194833825120207
2020-02-03,-2.7975857081950495,-3.3140794457993783,-0.23445519362266493,-0.11883545490749547,481,745,250,0.3258807588075881,1.7893375192659262,2.3435817649973734,257,427,-0.326614589022706,-0.16105847485291014
2020-02-04,0.6692062624381823,0.7062859617130046,0.820301302647794,0.6506888646914177,1012,281,181,0.6865671641791045,18.501899006649683,3.2918528723331466,550,144,0.8148779064613093,0.04240850839278722
2020-02-05,0.21870421923846362,0.24522024199409298,0.4223782338253471,0.3806994245241224,888,366,223,0.6012186865267434,-5.993060337538319,2.5551525651785805,416,194,0.48417030517648507,0.015208916497806927
2020-02-06,0.2551875028434569,0.22192152429121315,0.5892751998580726,0.4281821720513834,927,342,208,0.6276235612728503,-0.3777947542017429,2.35814097653518,403,178,0.5592346051341027,0.018008998083518486
2020-02-07,0.10874983007838068,0.20125191468836068,0.4618609306489459,0.22222222222223476,804,417,258,0.5436105476673428,0.017633634872340553,2.4141375688195748,372,176,0.18728270225124594,0.007891859947632852
2020-02-10,0.03306235974327443,0.1496701327961869,0.32772940137324835,0.08781558726673744,736,442,305,0.49629130141604855,-0.9693814096120327,2.315172394691731,352,201,0.6643823783912339,0.002404535254056322
2020-02-11,0.6391555500145474,0.5539608766137016,0.6298883008320091,0.4871229135419042,961,305,214,0.6493243243243243,15.943406540543066,3.458081102167666,435,167,0.9455816170016498,0.044979278678011776
2020-02-12,0.35596593959315026,0.44903292588640564,0.5222768978196362,0.25451361764683433,832,410,238,0.5621621621621622,14.60533378648664,3.6563635609929546,357,201,0.8518996738618334,0.02564596106578892
2020-02-13,0.15039504311049612,0.2973686132429876,0.3192819537835602,0.10990021917641757,747,491,240,0.5054127198917456,12.781846538763794,3.753089317059709,353,253,1.1690044188996838,0.011042220492694283
2020-02-14,0.12731372154435316,0.16522442183459773,0.45215280936013874,0.20174848688636615,809,434,238,0.5462525320729237,14.70420803050577,3.5894902607479375,342,222,-1.3747765141996546,0.009522342673474434
2020-02-17,0.1514845068910864,0.12664262456705266,0.3753004369074439,0.11329694098258791,745,446,288,0.5037187288708587,0.9105628774355804,2.383965528042489,333,217,3.5819947895385895,0.011122210491269192
2020-02-18,-0.14569393481544957,-0.06258005847324943,-0.0884270676996798,-0.05194265530853448,487,708,282,0.3297224102911307,0.9901186666992943,2.2363111577657615,230,291,-1.2135906000476349,-0.010103601582208709
2020-02-19,0.8180112570356446,1.1206543967280158,0.6434142849002896,0.5865623889086402,982,300,193,0.6657627118644068,-5.443236758487021,2.558090066042479,467,156,2.5668386882226946,0.056375689664758415
2020-02-20,-0.056902992767549065,0.07814982716241037,0.3339063514663333,0.06512151081905504,722,496,259,0.4888287068381855,0.33759331991669134,2.254369731136036,310,168,2.4315105938331056,-0.004058701338626895
2020-02-24,-0.5653575700385383,-0.8935828470874485,-0.21940849441061402,-0.26525605532357055,400,828,250,0.2706359945872801,15.729929719414285,3.5098313087439954,224,426,3.5298233474790943,-0.04126697591522177
2020-02-25,0.40661402945205705,0.2032500303725815,0.31335425763834923,0.24502961368624288,823,422,237,0.5553306342780027,-0.07583449383466627,2.1295284196742883,387,214,1.6854608077332174,0.023918472320709237
2020-02-26,-0.503055628544069,-0.501927203304342,-0.2507621442741024,-0.29492781695206194,392,842,246,0.2648648648648649,1.09023508044213,2.1758105081424444,208,361,-0.9198984496779326,-0.029766605239294027
2020-02-27,-0.1477073254270711,-0.12158967362163597,0.12138093166750749,0.0,580,613,283,0.39295392953929537,14.747803994382814,3.555225628039591,285,275,0.8314025464704472,-0.008089119683848362
2020-02-28,-2.160178109392863,-2.2706794315433765,-1.9170100002222181,-1.8729375633025125,139,1227,111,0.0941096817874069,0.036647616885586765,2.566617822184372,101,1033,-2.7073378569423565,-0.12156320255446612
2020-03-02,1.6568839690227044,1.9001857814571865,1.4840123731189057,1.1938202247190999,1066,245,168,0.7207572684246112,0.3698028602465451,3.0971821941223525,798,162,2.4082431945144718,0.07129449092180312
2020-03-03,0.761716557005232,0.4993349129151614,0.8144065757599089,0.659087547718562,943,352,181,0.6388888888888888,12.157864645218325,3.829140458225684,592,240,2.1625991154728714,0.03022684750020762
2020-03-04,0.42509709553848474,0.2601359630257427,0.30846893427447264,0.26385224274407815,856,477,238,0.5448758752387015,-4.6656107486236955,2.9064746481105743,444,266,0.6465376604405378,0.017322620030093102
2020-03-05,0.48928984090301775,0.6163252913236272,0.44202729370074534,0.38964896818268757,923,420,227,0.5878980891719745,-1.5990893057528877,3.0906159649797065,517,261,0.10118296954274297,0.02019355513425579
2020-03-06,-2.895997870263556,-4.044372183575762,-2.9001961591082415,-2.7514354356212687,125,1336,113,0.07941550190597205,-1.4048524646274665,3.3955880123126447,96,1203,-6.948384307380888,-0.12455904818337875
2020-03-09,-2.2512500625600174,-2.7696397130365535,-1.7500507126715101,-1.6597510373444035,245,1153,177,0.15555555555555556,-0.9299388996287099,3.492289232974158,177,936,0.035921369031113703,-0.08780226453042189
