segment,n_dates,coincident_accuracy,predictive_accuracy,transition_accuracy,mean_return_Bullish,regime_dist_Bullish,mean_return_Neutral,regime_dist_Neutral,mean_return_Bearish,regime_dist_Bearish
availability=full,639,0.5226917057902973,0.36932707355242567,0.3881401617250674,0.0012154196322326529,0.29890453834115804,-0.00035480078236000003,0.3489827856025039,-0.00016277150911748252,0.352112676056338
availability=pre_ix,838,0.4964200477326969,0.431980906921241,0.423828125,0.0040717337627155965,0.35799522673031026,-0.0008117832969093484,0.3198090692124105,-0.003260407872443038,0.3221957040572792
availability=partial,47,0.46808510638297873,0.2978723404255319,0.34375,-0.0008208084657142856,0.3404255319148936,0.0009379303367619047,0.3829787234042553,0.0067784131,0.2765957446808511
ALL (combined),1524,0.5065616797900262,0.4015748031496063,0.40499457111834963,0.0027183773567032044,0.33267716535433073,-0.000569812760139423,0.33398950131233596,-0.0016487866148686275,0.3333333333333333
