date,return_pct,day_range_pct,close_in_range,range_ratio,breadth_ratio,vix_change_pct,label_a,label_b,label_c,label_d
2020-01-29,0.006113240100200867,0.005457953847940501,0.3905775075987888,0.6245847176079838,0.5538461538461539,-4.624277456647403,Bullish,Range-Chop,Directional,Range
2020-01-30,-0.00772496805309375,0.011517374994847182,0.1803865425912606,1.2982969726539715,0.22805805114029026,1.8181818181818226,Bearish,Trend-Down,Directional,Trend-Down
2020-01-31,-0.0061233985277254765,0.013102577311022028,0.10304375396322202,1.4108700514426218,0.3408769448373409,3.3928571428571446,Bearish,Trend-Down,Directional,Trend-Down
2020-02-03,-0.02125044933581899,0.011314902901664453,0.6900628001477606,1.2497980101110409,0.3693379790940767,-9.153713298791027,Bearish,Range-Chop,Directional,Range
2020-02-04,0.023210823461081942,0.017317366906106135,0.967940813810111,1.8250146271209329,0.7302816901408451,-8.871989860583007,Bullish,Trend-Up,Directional,Trend-Up
2020-02-05,0.009140500765882242,0.012087164483102535,0.9378453038674031,1.2863393075265896,0.5780918727915194,-1.4603616133518835,Bullish,Trend-Up,Directional,Trend-Up
2020-02-06,0.004036677516616294,0.006282492979241777,0.7017774851876311,0.6793988728866692,0.5893482831114225,-2.7522935779816553,Bullish,Range-Chop,Directional,Trend-Up
2020-02-07,-0.0032624949023517535,0.00665268846881063,0.3021671826625342,0.727952942237047,0.49297752808988765,-0.21770682148040174,Neutral,Range-Chop,Directional,Trend-Down
2020-02-10,-0.005525546872094167,0.009323585447602298,0.36125886524822926,0.9897341405633008,0.3259361997226075,3.3454545454545515,Bearish,Trend-Down,Directional,Trend-Down
2020-02-11,0.006349997922121098,0.006092340938370052,0.12141882673942325,0.6409723892180167,0.42676944639103015,-2.3223082336382834,Neutral,Range-Chop,Directional,Range
2020-02-12,0.00770571279908161,0.0072225571734157645,0.6506575185820581,0.7610303715951682,0.3702928870292887,-1.873198847262259,Neutral,Trend-Up,Directional,Trend-Up
2020-02-13,-0.0021760154738879045,0.007036193161328423,0.40594059405940847,0.7430327159425341,0.4244755244755245,-1.8355359765051396,Neutral,Range-Chop,Range,Range
2020-02-14,-0.005026838553880308,0.012772441096869315,0.14308681672025725,1.2946196274326163,0.3203342618384401,1.8698578908002992,Bearish,Trend-Down,Directional,Trend-Down
2020-02-17,-0.005584701303097073,0.010120981223350933,0.07177814029363169,1.060897782585185,0.2604166666666667,5.873715124816452,Bearish,Trend-Down,Directional,Trend-Down
2020-02-18,-0.004424778761061843,0.010186122964020716,0.6882640586797084,1.0371059082072587,0.3157162726008345,0.6241331484049921,Bearish,Range-Chop,Directional,Range
2020-02-19,0.011123618928496892,0.00772149259954141,0.9049676025917812,0.797708526263652,0.6886858749121574,-3.376981392143351,Bullish,Trend-Up,Directional,Trend-Up
2020-02-20,-0.0037151881509825957,0.006642805894820118,0.1166977032898786,0.6982186971785143,0.49893692416725727,-2.2824536376604874,Neutral,Range-Chop,Directional,Trend-Down
2020-02-24,-0.020813932794463974,0.016484767214227446,0.08034145116746186,1.6707565175444092,0.19790940766550522,24.08759124087592,Bearish,Trend-Down,Directional,Trend-Down
2020-02-25,-0.002662856949633974,0.00871979982078547,0.17450315075133363,0.867718191377495,0.33356692361597756,-0.5882352941176554,Neutral,Range-Chop,Range,Range
2020-02-26,-0.010120445163969816,0.012175895710253489,0.27079707622693866,1.2060786700810187,0.27487821851078637,8.047337278106527,Bearish,Trend-Down,Directional,Trend-Down
2020-02-27,-0.0038703600633643864,0.010887528364087823,0.7597325992921653,1.0407415744132253,0.29481792717086835,-2.6834611171960674,Bearish,Range-Chop,Directional,Range
2020-02-28,-0.03709609483121723,0.018030137622170837,0.1272943980929713,1.6689874676745586,0.07586206896551724,30.782217220033758,Bearish,Trend-Down,Directional,Trend-Down
2020-03-02,-0.006159751824491688,0.035418572990827325,0.2432262129804663,2.88278142086429,0.3419943820224719,8.43373493975904,Bearish,Trend-Down,Directional,Trend-Down
2020-03-03,0.015319664952504919,0.017039814960364757,0.7946758039008931,1.351669101143616,0.571927374301676,-2.61904761904762,Bullish,Trend-Up,Directional,Trend-Up
2020-03-04,-0.004626967345819244,0.024280519848185994,0.6152304609218434,1.9068297088862691,0.23137254901960785,-1.263243683781576,Bearish,Volatile-Whipsaw,Chaotic,Expansion
2020-03-05,0.0015998577904186018,0.012878855212869935,0.16839199447894893,1.0067044151874083,0.5349766822118588,-4.044572843582338,Neutral,Range-Chop,Range,Range
2020-03-06,-0.02480699263466135,0.018431094152098742,0.78021184400578,1.3798601537976094,0.1590612777053455,10.279569892473122,Bearish,Range-Chop,Directional,Range
