date,final_score_A,final_score_B,regime_A,regime_B,market_score_A,market_score_B,score_delta_3d_A,score_delta_3d_B,overnight_gap,volume_surge,breadth_momentum,vix_roc_5d,next_day_return
2021-01-05,47.8494623655914,45.69892473118279,Neutral,Neutral,47.8494623655914,45.69892473118279,,,-0.40862101904067816,0.9775427937604149,0.10443717787101503,-0.015873015873015792,-0.37501320469031096
2021-01-06,34.786096256684495,33.18181818181819,Bearish,Bearish,19.786096256684495,18.181818181818183,,,0.2919116870312386,1.2441261614030545,0.04078301355808389,-0.005210800568450944,-0.06291419987628499
2021-01-07,35.1063829787234,34.57446808510639,Neutral,Bearish,35.1063829787234,34.57446808510639,,,0.7599187063709464,1.0941116824945774,0.04257283771212805,-0.022748815165876797,1.4847195549378078
2021-01-08,51.85185185185185,53.96825396825397,Neutral,Neutral,51.85185185185185,53.96825396825397,4.002389486260448,8.269329237071176,0.8562425065517885,1.1933424062888196,-0.006012455843239728,0.055214723926380466,0.9583718134137165
2021-01-11,23.684210526315788,26.842105263157894,Bearish,Bearish,23.684210526315788,26.842105263157894,3.898114269631293,8.66028708133971,0.8837930613880659,1.3236849511670947,-0.07939895391008,0.11732401397903133,0.5433300540223396
2021-01-12,20.418848167539267,21.465968586387437,Bearish,Bearish,20.418848167539267,21.465968586387437,-14.687534811184136,-13.108499498718952,-0.07559674830425604,1.764231556672426,-0.07058358397294373,0.11681329423264909,0.009613106784445158
2021-01-13,32.708333333333336,21.354166666666664,Bearish,Bearish,17.708333333333336,21.354166666666664,-34.14351851851851,-32.614087301587304,0.524257644994823,1.6014920269897115,-0.09102603957137112,0.109047619047619,0.21112472837001572
2021-01-14,34.170984455958546,30.5440414507772,Bearish,Bearish,19.170984455958546,15.544041450777202,-4.513226070357241,-11.298063812380692,-0.10161450341061591,1.120261538282999,-0.12351145295685328,0.11687681862269642,-1.1092384006138767
2021-01-15,20.15463917525773,18.09278350515464,Bearish,Bearish,5.154639175257731,3.0927835051546393,-15.264208992281535,-18.373185081232798,-0.008564224834881746,1.379636461576735,-0.25821346816733504,0.16327519379844965,-1.0558623222042929
2021-01-18,17.05128205128205,17.564102564102562,Bearish,Bearish,2.051282051282051,2.564102564102564,-15.657051282051285,-18.790064102564102,0.13579331702888756,1.3039175302201695,-0.3879222346818268,0.09025915996425378,1.6794689559073817
2021-01-19,31.63265306122449,32.142857142857146,Bearish,Bearish,31.63265306122449,32.142857142857146,12.461668605265945,16.598815692079945,0.6326454874556264,0.9458569131117027,-0.24856531248545766,0.0021881838074397004,0.8508279302947841
2021-01-20,39.08629441624365,40.609137055837564,Neutral,Neutral,39.08629441624365,40.609137055837564,33.93165524098592,37.51635355068292,0.11810359372363508,1.086031762581627,-0.1540265420700203,-0.07471017604121934,-0.3711240243910785
2021-01-21,26.11111111111111,25.606060606060606,Bearish,Bearish,11.11111111111111,10.606060606060606,9.05982905982906,8.041958041958042,0.5889502686978907,1.202444124676542,-0.25898197742197154,-0.036908380373426024,-1.4972224792414224
2021-01-22,21.030150753768844,21.030150753768844,Bearish,Bearish,6.030150753768844,6.030150753768844,-25.602502307455648,-26.112706389088302,-0.04763422399051927,1.291825098813113,-0.2468169577961538,-0.06622240733027904,-0.9254169594834383
2021-01-25,19.0,22.0,Bearish,Bearish,4.0,7.000000000000001,-35.08629441624365,-33.609137055837564,0.7368545564608691,1.0107841947219671,-0.15282877503631764,-0.04713114754098355,-1.9060461131126694
2021-01-27,16.492537313432834,16.99004975124378,Bearish,Bearish,1.4925373134328357,1.9900497512437811,-9.618573797678275,-8.616010854816825,-0.006671863697328507,1.0603832609342094,-0.33466053428019926,0.0650655021834062,-1.0735636298550233
2021-01-28,15.495049504950495,15.495049504950495,Bearish,Bearish,0.49504950495049505,0.49504950495049505,-5.535101248818348,-5.535101248818348,-1.124753892965816,1.0030269942584258,-0.35503444199096373,0.12714617169373543,-1.3240408031814588
2021-01-29,16.47783251231527,17.95566502463054,Bearish,Bearish,1.477832512315271,2.955665024630542,-2.522167487684729,-4.044334975369459,0.9339571776472754,1.1570227961142665,-0.24050424914876523,0.1424706943192065,4.742346676836884
2021-02-01,33.13725490196079,28.921568627450984,Bearish,Bearish,18.137254901960784,28.921568627450984,16.644717588527946,26.931518876207203,0.9094509556569316,1.2771696563754686,0.04315549323890777,0.04014272970561992,2.5673612861664363
2021-02-02,24.390243902439025,41.951219512195124,Bearish,Neutral,24.390243902439025,41.951219512195124,23.89519439748853,41.45617000724463,1.3997423185726663,1.3022439182014853,0.2280185258320468,0.004301075268817265,0.9701082411411877
2021-02-03,25.24271844660194,43.203883495145625,Bearish,Neutral,25.24271844660194,43.203883495145625,23.76488593428667,40.248218470515084,0.7308239775803225,1.2051687280696255,0.3779924667745037,-0.02624026240262405,0.7146744918001602
2021-02-04,36.231884057971016,48.309178743961354,Neutral,Neutral,36.231884057971016,48.309178743961354,18.09462915601023,19.38761011651037,-0.006085213269831576,1.2051718915729377,0.4188164579441039,-0.04816797035817201,0.19200236310601415
