2026-03-21 04:27:21 [INFO] ======================================================================
2026-03-21 04:27:21 [INFO] NSE HISTORICAL BACKFILL
2026-03-21 04:27:21 [INFO] Date range: 2020-01-01 to 2025-08-31
2026-03-21 04:27:21 [INFO] Feeds: cm, idx, fo
2026-03-21 04:27:21 [INFO] Format switch date: 2024-01-01
2026-03-21 04:27:21 [INFO] ======================================================================
2026-03-21 04:27:21 [INFO] Connected to database
2026-03-21 04:27:21 [INFO] Total weekday dates in range: 1478
2026-03-21 04:27:21 [INFO] Progress: 1/1478 dates (2020-01-01) | Rate: 174762.7 dates/s | ETA: 0.0h
2026-03-21 04:29:38 [INFO] IDX 2020-01-24: parsed=79, inserted=79, skipped=0, time=0.1s
2026-03-21 04:29:42 [INFO] FO 2020-01-24: parsed=33407, inserted=16907, skipped=16500, time=1.6s
2026-03-21 04:29:44 [INFO] CM 2020-01-27: parsed=1490, inserted=490, skipped=1000, time=0.1s
2026-03-21 04:29:46 [INFO] IDX 2020-01-27: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:29:50 [INFO] FO 2020-01-27: parsed=33527, inserted=16527, skipped=17000, time=2.3s
2026-03-21 04:29:52 [INFO] CM 2020-01-28: parsed=1487, inserted=487, skipped=1000, time=0.2s
2026-03-21 04:29:54 [INFO] IDX 2020-01-28: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:29:58 [INFO] FO 2020-01-28: parsed=33621, inserted=16621, skipped=17000, time=1.7s
2026-03-21 04:30:00 [INFO] CM 2020-01-29: parsed=1490, inserted=490, skipped=1000, time=0.3s
2026-03-21 04:30:02 [INFO] IDX 2020-01-29: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:30:06 [INFO] FO 2020-01-29: parsed=33669, inserted=16668, skipped=17001, time=1.9s
2026-03-21 04:30:09 [INFO] CM 2020-01-30: parsed=1475, inserted=475, skipped=1000, time=0.2s
2026-03-21 04:30:11 [INFO] IDX 2020-01-30: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:30:14 [INFO] FO 2020-01-30: parsed=33703, inserted=16703, skipped=17000, time=1.8s
2026-03-21 04:30:17 [INFO] CM 2020-01-31: parsed=1475, inserted=475, skipped=1000, time=0.3s
2026-03-21 04:30:19 [INFO] IDX 2020-01-31: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:30:22 [INFO] FO 2020-01-31: parsed=31461, inserted=15961, skipped=15500, time=1.8s
2026-03-21 04:30:25 [INFO] CM 2020-02-03: parsed=1476, inserted=476, skipped=1000, time=0.1s
2026-03-21 04:30:27 [INFO] IDX 2020-02-03: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:30:31 [INFO] FO 2020-02-03: parsed=32049, inserted=16049, skipped=16000, time=2.0s
2026-03-21 04:30:33 [INFO] CM 2020-02-04: parsed=1474, inserted=474, skipped=1000, time=0.1s
2026-03-21 04:30:35 [INFO] IDX 2020-02-04: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:30:39 [INFO] FO 2020-02-04: parsed=32199, inserted=16199, skipped=16000, time=1.9s
2026-03-21 04:30:41 [INFO] CM 2020-02-05: parsed=1477, inserted=477, skipped=1000, time=0.3s
2026-03-21 04:30:43 [INFO] IDX 2020-02-05: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:30:47 [INFO] FO 2020-02-05: parsed=32279, inserted=16279, skipped=16000, time=1.8s
2026-03-21 04:30:49 [INFO] CM 2020-02-06: parsed=1477, inserted=477, skipped=1000, time=0.5s
2026-03-21 04:30:51 [INFO] IDX 2020-02-06: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:30:55 [INFO] FO 2020-02-06: parsed=32389, inserted=16389, skipped=16000, time=1.6s
2026-03-21 04:30:57 [INFO] CM 2020-02-07: parsed=1479, inserted=479, skipped=1000, time=0.1s
2026-03-21 04:30:59 [INFO] IDX 2020-02-07: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:31:03 [INFO] FO 2020-02-07: parsed=32355, inserted=16355, skipped=16000, time=1.6s
2026-03-21 04:31:05 [INFO] CM 2020-02-10: parsed=1483, inserted=483, skipped=1000, time=0.1s
2026-03-21 04:31:07 [INFO] IDX 2020-02-10: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:31:11 [INFO] FO 2020-02-10: parsed=32445, inserted=16445, skipped=16000, time=1.5s
2026-03-21 04:31:13 [INFO] CM 2020-02-11: parsed=1480, inserted=480, skipped=1000, time=0.1s
2026-03-21 04:31:15 [INFO] IDX 2020-02-11: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:31:19 [INFO] FO 2020-02-11: parsed=32509, inserted=16009, skipped=16500, time=1.8s
2026-03-21 04:31:21 [INFO] CM 2020-02-12: parsed=1480, inserted=480, skipped=1000, time=0.1s
2026-03-21 04:31:23 [INFO] IDX 2020-02-12: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:31:27 [INFO] FO 2020-02-12: parsed=32689, inserted=16189, skipped=16500, time=1.9s
2026-03-21 04:31:29 [INFO] CM 2020-02-13: parsed=1478, inserted=478, skipped=1000, time=0.2s
2026-03-21 04:31:31 [INFO] IDX 2020-02-13: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:31:35 [INFO] FO 2020-02-13: parsed=32777, inserted=16277, skipped=16500, time=1.9s
2026-03-21 04:31:37 [INFO] CM 2020-02-14: parsed=1481, inserted=481, skipped=1000, time=0.3s
2026-03-21 04:31:39 [INFO] IDX 2020-02-14: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:31:43 [INFO] FO 2020-02-14: parsed=32787, inserted=16287, skipped=16500, time=1.8s
2026-03-21 04:31:45 [INFO] CM 2020-02-17: parsed=1479, inserted=479, skipped=1000, time=0.1s
2026-03-21 04:31:47 [INFO] IDX 2020-02-17: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:31:51 [INFO] FO 2020-02-17: parsed=32913, inserted=16413, skipped=16500, time=1.9s
2026-03-21 04:31:53 [INFO] CM 2020-02-18: parsed=1477, inserted=477, skipped=1000, time=0.1s
2026-03-21 04:31:55 [INFO] IDX 2020-02-18: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:31:59 [INFO] FO 2020-02-18: parsed=33245, inserted=16745, skipped=16500, time=1.9s
2026-03-21 04:32:01 [INFO] CM 2020-02-19: parsed=1475, inserted=475, skipped=1000, time=0.1s
2026-03-21 04:32:03 [INFO] IDX 2020-02-19: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:32:07 [INFO] FO 2020-02-19: parsed=33347, inserted=16847, skipped=16500, time=2.0s
2026-03-21 04:32:09 [INFO] CM 2020-02-20: parsed=1477, inserted=477, skipped=1000, time=0.1s
2026-03-21 04:32:11 [INFO] IDX 2020-02-20: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:32:15 [INFO] FO 2020-02-20: parsed=33475, inserted=16975, skipped=16500, time=1.8s
2026-03-21 04:32:24 [INFO] CM 2020-02-24: parsed=1478, inserted=478, skipped=1000, time=0.1s
2026-03-21 04:32:26 [INFO] IDX 2020-02-24: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:32:29 [INFO] FO 2020-02-24: parsed=33577, inserted=16576, skipped=17001, time=1.8s
2026-03-21 04:32:32 [INFO] CM 2020-02-25: parsed=1482, inserted=482, skipped=1000, time=0.1s
2026-03-21 04:32:34 [INFO] IDX 2020-02-25: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:32:37 [INFO] FO 2020-02-25: parsed=33761, inserted=16761, skipped=17000, time=1.8s
2026-03-21 04:32:40 [INFO] CM 2020-02-26: parsed=1480, inserted=480, skipped=1000, time=0.1s
2026-03-21 04:32:42 [INFO] IDX 2020-02-26: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:32:45 [INFO] FO 2020-02-26: parsed=33833, inserted=16833, skipped=17000, time=1.7s
2026-03-21 04:32:47 [INFO] CM 2020-02-27: parsed=1476, inserted=476, skipped=1000, time=0.1s
2026-03-21 04:32:49 [INFO] IDX 2020-02-27: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:32:54 [INFO] FO 2020-02-27: parsed=34057, inserted=17057, skipped=17000, time=2.4s
2026-03-21 04:32:56 [INFO] CM 2020-02-28: parsed=1477, inserted=477, skipped=1000, time=0.2s
2026-03-21 04:32:58 [INFO] IDX 2020-02-28: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:33:02 [INFO] FO 2020-02-28: parsed=31939, inserted=15939, skipped=16000, time=2.3s
2026-03-21 04:33:05 [INFO] CM 2020-03-02: parsed=1479, inserted=479, skipped=1000, time=0.3s
2026-03-21 04:33:07 [INFO] IDX 2020-03-02: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:33:11 [INFO] FO 2020-03-02: parsed=33107, inserted=16607, skipped=16500, time=1.8s
2026-03-21 04:33:13 [INFO] CM 2020-03-03: parsed=1476, inserted=476, skipped=1000, time=0.1s
2026-03-21 04:33:15 [INFO] IDX 2020-03-03: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:33:19 [INFO] FO 2020-03-03: parsed=33463, inserted=16963, skipped=16500, time=2.2s
2026-03-21 04:33:21 [INFO] CM 2020-03-04: parsed=1571, inserted=71, skipped=1500, time=0.4s
2026-03-21 04:33:23 [INFO] IDX 2020-03-04: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:33:27 [INFO] FO 2020-03-04: parsed=33349, inserted=16849, skipped=16500, time=1.8s
2026-03-21 04:33:29 [INFO] CM 2020-03-05: parsed=1570, inserted=70, skipped=1500, time=0.3s
2026-03-21 04:33:32 [INFO] IDX 2020-03-05: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:33:35 [INFO] FO 2020-03-05: parsed=33505, inserted=16505, skipped=17000, time=1.9s
2026-03-21 04:33:38 [INFO] CM 2020-03-06: parsed=1574, inserted=74, skipped=1500, time=0.1s
2026-03-21 04:33:40 [INFO] IDX 2020-03-06: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:33:44 [INFO] FO 2020-03-06: parsed=33399, inserted=16899, skipped=16500, time=1.9s
2026-03-21 04:33:46 [INFO] CM 2020-03-09: parsed=1575, inserted=75, skipped=1500, time=0.1s
2026-03-21 04:33:48 [INFO] IDX 2020-03-09: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:33:52 [INFO] FO 2020-03-09: parsed=33951, inserted=16951, skipped=17000, time=1.8s
2026-03-21 04:33:54 [INFO] Progress: 50/1478 dates (2020-03-10) | Rate: 0.1 dates/s | ETA: 3.1h
2026-03-21 04:34:00 [INFO] CM 2020-03-11: parsed=1575, inserted=75, skipped=1500, time=0.1s
2026-03-21 04:34:02 [INFO] IDX 2020-03-11: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:34:06 [INFO] FO 2020-03-11: parsed=35441, inserted=17941, skipped=17500, time=1.7s
2026-03-21 04:34:08 [INFO] CM 2020-03-12: parsed=1574, inserted=74, skipped=1500, time=0.1s
2026-03-21 04:34:10 [INFO] IDX 2020-03-12: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:34:14 [INFO] FO 2020-03-12: parsed=35793, inserted=17793, skipped=18000, time=2.0s
2026-03-21 04:34:16 [INFO] CM 2020-03-13: parsed=1566, inserted=66, skipped=1500, time=0.3s
2026-03-21 04:34:18 [INFO] IDX 2020-03-13: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:34:22 [INFO] FO 2020-03-13: parsed=39035, inserted=19535, skipped=19500, time=2.1s
2026-03-21 04:34:25 [INFO] CM 2020-03-16: parsed=1572, inserted=72, skipped=1500, time=0.1s
2026-03-21 04:34:27 [INFO] IDX 2020-03-16: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:34:31 [INFO] FO 2020-03-16: parsed=39191, inserted=19690, skipped=19501, time=2.1s
2026-03-21 04:34:33 [INFO] CM 2020-03-17: parsed=1568, inserted=68, skipped=1500, time=0.1s
2026-03-21 04:34:35 [INFO] IDX 2020-03-17: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:34:39 [INFO] FO 2020-03-17: parsed=40919, inserted=20419, skipped=20500, time=2.2s
2026-03-21 04:34:41 [INFO] CM 2020-03-18: parsed=1564, inserted=64, skipped=1500, time=0.1s
2026-03-21 04:34:43 [INFO] IDX 2020-03-18: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:34:48 [INFO] FO 2020-03-18: parsed=41943, inserted=20943, skipped=21000, time=2.3s
2026-03-21 04:34:50 [INFO] CM 2020-03-19: parsed=1574, inserted=74, skipped=1500, time=0.1s
2026-03-21 04:34:52 [INFO] IDX 2020-03-19: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:34:56 [INFO] FO 2020-03-19: parsed=43935, inserted=21935, skipped=22000, time=2.5s
2026-03-21 04:34:58 [INFO] CM 2020-03-20: parsed=1563, inserted=63, skipped=1500, time=0.1s
2026-03-21 04:35:00 [INFO] IDX 2020-03-20: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:35:05 [INFO] FO 2020-03-20: parsed=44907, inserted=22406, skipped=22501, time=2.7s
2026-03-21 04:35:07 [INFO] CM 2020-03-23: parsed=1548, inserted=48, skipped=1500, time=0.1s
2026-03-21 04:35:09 [INFO] IDX 2020-03-23: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:35:14 [INFO] FO 2020-03-23: parsed=45031, inserted=22531, skipped=22500, time=2.4s
2026-03-21 04:35:16 [INFO] CM 2020-03-24: parsed=1563, inserted=63, skipped=1500, time=0.1s
2026-03-21 04:35:18 [INFO] IDX 2020-03-24: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:35:23 [INFO] FO 2020-03-24: parsed=48279, inserted=24278, skipped=24001, time=2.9s
2026-03-21 04:35:25 [INFO] CM 2020-03-25: parsed=1555, inserted=55, skipped=1500, time=0.1s
2026-03-21 04:35:27 [INFO] IDX 2020-03-25: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:35:32 [INFO] FO 2020-03-25: parsed=48465, inserted=24464, skipped=24001, time=2.7s
2026-03-21 04:35:34 [INFO] CM 2020-03-26: parsed=1552, inserted=52, skipped=1500, time=0.1s
2026-03-21 04:35:36 [INFO] IDX 2020-03-26: parsed=81, inserted=81, skipped=0, time=0.0s
2026-03-21 04:35:40 [INFO] FO 2020-03-26: parsed=48549, inserted=24048, skipped=24501, time=2.6s
2026-03-21 04:35:43 [INFO] CM 2020-03-27: parsed=1550, inserted=50, skipped=1500, time=0.1s
2026-03-21 04:35:45 [INFO] IDX 2020-03-27: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:35:49 [INFO] FO 2020-03-27: parsed=43887, inserted=21887, skipped=22000, time=2.5s
2026-03-21 04:35:51 [INFO] CM 2020-03-30: parsed=1554, inserted=54, skipped=1500, time=0.2s
2026-03-21 04:35:53 [INFO] IDX 2020-03-30: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:35:58 [INFO] FO 2020-03-30: parsed=43969, inserted=21968, skipped=22001, time=2.7s
2026-03-21 04:36:00 [INFO] CM 2020-03-31: parsed=1549, inserted=49, skipped=1500, time=0.1s
2026-03-21 04:36:02 [INFO] IDX 2020-03-31: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:36:07 [INFO] FO 2020-03-31: parsed=44159, inserted=22159, skipped=22000, time=2.3s
