date,market_score,volatility_score,regime_label,score_delta_1d,trend_z,participation_z,sentiment_z,next_day_nifty_return
2021-01-05,54.83870967741935,61.03286384976526,Neutral,,0.4209388734148349,0.45546411494234185,0.11752596908775899,-0.37501320469031096
2021-01-06,23.52941176470588,70.09345794392523,Bearish,-31.309297912713472,-0.15186420719244872,0.10822293731082364,-0.31864117215986654,-0.06291419987628499
2021-01-07,31.914893617021278,65.58139534883722,Bearish,8.385481852315397,-0.2597673392081919,0.5819816305058525,-0.07250021518088788,1.4847195549378078
2021-01-08,52.38095238095239,65.74074074074075,Neutral,20.46605876393111,0.4878010666270623,0.3886185078380548,0.020207703703550805,0.9583718134137165
2021-01-11,26.842105263157894,81.5668202764977,Bearish,-25.538847117794493,0.6773966914149115,-0.0017013553355552102,-1.0782082286388683,0.5433300540223396
2021-01-12,28.79581151832461,84.40366972477065,Bearish,1.9537062551667148,0.7580343961940988,0.189048011956235,-1.1864563826739687,0.009613106784445158
2021-01-13,20.833333333333336,85.84474885844749,Bearish,-7.962478184991273,0.7267750348307058,-0.26980105485937544,-1.262658857429562,0.21112472837001572
2021-01-14,30.05181347150259,84.0909090909091,Bearish,9.218480138169255,0.7524584764308819,-0.11725678691775807,-0.8311605534966842,-1.1092384006138767
2021-01-15,6.701030927835052,87.78280542986425,Bearish,-23.35078254366754,-0.4484240116842798,-0.7033983444157997,-1.215743006900281,-1.0558623222042929
2021-01-18,1.5384615384615385,88.28828828828829,Bearish,-5.162569389373513,-0.7959447175095408,-1.1909619868572983,-1.284182649856704,1.6794689559073817
2021-01-19,28.061224489795915,81.61434977578476,Bearish,26.522762951334375,-0.48495542070602843,0.7085181834644572,-0.234415936742966,0.8508279302947841
2021-01-20,40.609137055837564,72.32142857142857,Neutral,12.54791256604165,0.19505546606619878,-0.38518149239749383,0.5512913641702297,-0.3711240243910785
2021-01-21,10.1010101010101,76.88888888888889,Bearish,-30.508126954827464,-0.5939525403476925,-1.0145310877407252,0.027517353539983636,-1.4972224792414224
2021-01-22,4.522613065326634,77.87610619469027,Bearish,-5.578397035683467,-1.0022042372183102,-1.3390213497960284,-0.2733897713240851,-0.9254169594834383
2021-01-25,1.5,84.58149779735683,Bearish,-3.0226130653266337,-1.1932663171978874,-1.5274989325279547,-0.9631432639074397,-1.9060461131126694
2021-01-27,0.0,88.1578947368421,Bearish,-1.5,-1.6397901468015543,-1.5623754222854276,-1.6185600390231003,-1.0735636298550233
2021-01-28,0.9900990099009901,87.77292576419214,Bearish,0.9900990099009901,-1.8916796476251592,-1.311963359378403,-1.3177460240856218,-1.3240408031814588
2021-01-29,0.0,91.73913043478261,Bearish,-0.9900990099009901,-2.099738539493503,-1.3912765731750951,-1.7610099354308204,4.742346676836884
2021-02-01,12.745098039215685,83.98268398268398,Bearish,12.745098039215685,-0.9825460711714308,-0.08706901006608324,-0.3301996346554436,2.5673612861664363
2021-02-02,12.195121951219512,84.05172413793103,Bearish,-0.549976087996173,-0.9424798363296133,-0.32072491998209485,-0.3380568885744423,0.9701082411411877
2021-02-03,14.563106796116504,85.40772532188842,Bearish,2.3679848448969913,-0.7029607184379235,-0.06849203400085362,-0.6124758509182224,0.7146744918001602
2021-02-04,21.256038647342994,79.91452991452992,Bearish,6.69293185122649,-0.48949596254780153,0.09587915640641695,-0.22834642597833055,0.19200236310601415
2021-02-05,14.423076923076922,81.70212765957446,Bearish,-6.832961724266072,-0.3352353217296265,-0.6037137080316212,-0.5779282466002249,1.2834815819890322
2021-02-08,19.138755980861244,85.16949152542372,Bearish,4.715679057784323,-0.051322554402937065,-0.12459953012887849,-0.887252904512718,-0.04300136281242262
2021-02-09,12.857142857142856,85.65400843881856,Bearish,-6.2816131237183885,-0.10929608375559459,-0.5998929363257609,-1.0043284761139957,-0.01853163283540571
2021-02-10,15.639810426540285,84.03361344537815,Bearish,2.7826675693974288,-0.2163943265108935,-0.5687661751152616,-0.7267946686430206,0.44219375765397473
2021-02-11,26.41509433962264,75.73221757322176,Bearish,10.775283913082356,-0.21425631118484875,-0.22395579769518945,-0.06829143074242544,-0.06590524144385324
2021-02-12,20.187793427230048,75.0,Bearish,-6.227300912392593,-0.29730181301518877,-0.5941262357096906,-0.08173491555406083,0.9984633951712452
